Countries and areas,Grade_2_3_Proficiency_Reading,Grade_2_3_Proficiency_Math,Primary_End_Proficiency_Reading,Primary_End_Proficiency_Math,Lower_Secondary_End_Proficiency_Reading,Lower_Secondary_End_Proficiency_Math
Jamaica,0,0,0,0,0,0
Japan,0,95,0,0,83,89
Jordan,0,0,0,0,59,41
Kazakhstan,0,0,98,80,36,51
Kenya,53,42,0,0,0,0
Kiribati,0,0,0,0,0,0
Kuwait,0,12,0,0,0,18
Kyrgyzstan,39,0,36,35,0,0
Laos,0,0,0,0,0,0
Latvia,99,0,0,0,78,83
Lebanon,0,0,0,0,32,35
Lesotho,13,0,0,0,0,0
Liberia,0,0,0,0,0,0
Libya,0,0,0,0,0,0
Liechtenstein,0,0,0,0,0,0
Lithuania,0,0,97,81,76,74
Luxembourg,0,0,0,0,71,73
Madagascar,13,0,4,5,0,0
Malawi,0,0,0,0,0,0
Malaysia,0,0,0,0,54,59
Maldives,0,0,0,0,0,0
Mali,0,0,0,0,0,0
Malta,73,0,0,0,64,62
Marshall Islands,0,0,0,0,0,0
Mauritania,0,0,0,0,0,0
Mauritius,0,0,88,78,0,0
Mexico,78,77,58,69,55,44
Federated States of Micronesia,0,0,0,0,0,0
Monaco,0,0,0,0,0,0
Mongolia,44,0,0,0,0,0
Montenegro,0,0,0,0,56,54
Montserrat,0,0,0,0,0,0
Morocco,36,16,0,0,27,14
Mozambique,0,0,0,0,0,0
Myanmar,0,0,0,0,0,0
Namibia,0,0,35,6,0,0
Nauru,0,0,0,0,0,0
Nepal,0,0,0,0,0,0
Netherlands,99,83,0,0,76,84
New Zealand,90,59,0,0,81,78
Nicaragua,61,44,31,20,0,0
Niger,9,27,2,1,0,0
Nigeria,0,0,0,0,0,0
Niue,0,0,0,0,0,0
North Macedonia,0,0,0,0,45,39
Norway,99,86,0,70,81,81
Oman,59,32,0,0,0,23
Pakistan,35,0,0,0,0,0
Palau,0,0,0,0,0,0
Panama,65,51,36,23,36,19
Papua New Guinea,0,0,0,0,0,0
Paraguay,61,47,29,23,32,8
Peru,80,70,46,53,46,40
Philippines,0,0,0,0,19,19
Poland,98,80,0,0,85,85
Portugal,97,82,0,0,80,77
Qatar,66,36,0,0,49,36
South Korea,0,97,0,0,85,85
Moldova,0,0,0,0,57,50
Romania,0,0,0,0,59,53
Russia,0,0,99,89,78,78
Rwanda,0,0,0,0,0,0
Saint Kitts and Nevis,0,0,0,0,0,0
Saint Lucia,0,0,0,0,0,0
Saint Vincent and the Grenadines,0,0,0,0,0,0
Samoa,0,0,0,0,0,0
San Marino,0,0,0,0,0,0
Sï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,0,0,0,0,0,0
Saudi Arabia,63,16,0,0,48,11
Senegal,29,63,35,29,9,8
Serbia,0,0,0,72,62,60
Seychelles,0,0,0,0,0,0
Sierra Leone,6,0,0,0,0,0
Singapore,97,93,0,0,89,94
Slovakia,0,0,93,65,69,75
Slovenia,96,75,0,0,82,84
Solomon Islands,0,0,0,0,0,0
Somalia,0,0,0,0,0,0
South Africa,22,0,0,13,0,0
South Sudan,0,0,0,0,0,0
Spain,97,67,0,0,84,75
Sri Lanka,0,0,0,0,0,0
Palestinian National Authority,0,0,0,0,0,0
Sudan,0,0,0,0,0,0
Suriname,30,0,0,0,0,0
Sweden,98,75,0,0,82,81
Switzerland,0,0,0,0,76,83
Syria,0,0,0,0,0,0
Tajikistan,0,0,0,0,0,0
Thailand,0,0,0,0,40,47
East Timor,0,0,0,0,0,0
Togo,19,40,16,20,0,0
Tokelau,0,0,0,0,0,0
Tonga,0,0,0,0,0,0
Trinidad and Tobago,80,0,0,0,58,48
Tunisia,47,0,0,0,28,25
Turkey,0,0,0,57,74,42
Turkmenistan,0,0,0,0,0,0
Turks and Caicos Islands,0,0,0,0,0,0
Tuvalu,0,0,0,0,0,0
Uganda,33,21,0,0,0,0
Ukraine,0,0,0,0,74,64
United Arab Emirates,68,42,0,0,57,46
United Kingdom,0,0,0,0,83,81
Tanzania,0,0,0,0,0,0
United States,0,0,0,0,81,73
Uruguay,80,75,59,68,58,49
Uzbekistan,0,0,0,0,0,0
Vanuatu,0,0,0,0,0,0
Venezuela,0,0,0,0,0,0
Vietnam,0,0,55,51,86,81
Yemen,0,0,0,0,0,0
Zambia,0,0,0,0,5,2
Zimbabwe,20,0,0,0,0,0
